2139;3196;5382;4497;5676;8816;5654;697;7824;2654;5611;5250;1174;1782;6080;8017;2855;7653
7125;4343;8078;5167;7112;3715;6542;2998;3792;8545;1135;2974;8290;5090;673;3580;7087;5466
6607;6668;4681;3465;114;3250;8659;3891;2571;1523;6418;5280;1131;6522;2081;2879;270;2020
4277;3589;7935;4797;7566;3995;320;6789;6228;3063;8901;3635;3930;8434;2545;3451;4577;7060
8569;4495;4721;824;4324;524;2811;8676;6723;3391;6481;3383;3999;467;8229;795;7637;6233
3037;1747;1127;8449;8953;4557;2989;8349;479;4455;1098;6985;1022;8968;7738;7925;3121;1194
3238;4710;242;8143;5905;4461;3514;5723;4944;739;7640;173;253;4239;6619;7748;2988;1422
5991;8101;2856;7062;4005;3737;5425;3692;945;6268;5969;2795;8969;7876;784;5842;4924;8835
1513;3305;5211;8292;6036;2874;440;6200;9000;2410;913;5873;4376;4099;7217;4884;1959;8996
1422;6303;6241;5317;6744;2358;4755;3475;4532;8260;2918;2342;7010;6317;7528;6059;7721;6939
4053;1899;3162;3277;8372;6204;6524;5331;4097;3972;8194;7024;7974;341;4331;869;6587;7848
6532;2357;6634;4897;745;788;345;8074;8884;6862;8759;6064;5687;6872;5163;3906;1849;2028
8716;4799;7913;5085;2351;705;3612;7395;8036;423;6228;8465;2112;5396;2570;2117;7142;3920
6424;6247;536;3247;646;6562;6202;4356;5326;3577;5885;6111;3649;2402;7381;2792;8234;3424
1646;407;4596;2004;2788;3912;6733;6516;1752;7365;3072;5972;2471;3288;8736;4645;8067;6226
8341;133;1216;1287;7729;8986;2677;3146;6885;8084;6782;7248;5343;7319;2172;2294;5192;1136
8921;5933;8917;6137;6459;7978;8347;8093;4099;3120;3451;8526;7045;7770;7553;884;2120;8667
5126;4819;3368;5959;4229;5373;1337;6103;2487;2134;3842;4303;204;2184;7451;154;3161;539
5271;4293;6218;2301;4093;2038;817;347;2747;8392;1478;8788;1117;2937;4551;7807;2230;7888
6389;7461;5706;8977;3296;7191;667;5726;8220;2516;6596;2558;2911;4271;2662;2762;706;1040
1417;3260;1199;2819;2389;5786;2210;8902;3669;1426;3425;239;4551;7350;6328;3653;6448;7890
4014;7583;8485;1398;2629;7314;8853;4344;1200;7551;7426;4757;7214;6606;5340;5140;7568;2775
1815;639;7218;2399;4840;8058;3592;8241;1672;1313;1751;8075;5762;7510;7254;7227;8734;8449
2302;7073;2933;6791;2310;5304;3955;4616;617;4970;2945;1872;6325;3514;2111;5581;3960;546
8421;2822;4043;4880;7952;3896;5672;5966;1862;2065;8655;330;8250;3854;3504;1598;3321;5499
4503;3987;5925;7988;5314;2516;511;2976;6856;8916;5930;938;4630;4013;4007;6034;5950;6527
6351;902;6283;7427;3784;6310;4652;6206;3036;5366;789;7298;1848;2176;4357;7959;5037;5392
6048;5858;2707;2510;539;3242;3012;5155;3887;1790;1693;675;2966;7128;7284;1454;9000;4816
8746;2506;3554;4793;6214;3243;3755;4600;7956;5563;3867;4207;2798;1208;4398;3756;7251;7975
8343;4311;1762;6706;5562;8074;5134;8225;7299;1854;1939;8777;8146;1593;3730;4197;1223;7494
3830;8477;2959;5930;671;3206;4986;1860;1222;6740;5003;413;5585;6997;3311;8110;3209;951
473;1010;8030;434;5968;8307;5446;2712;2928;5963;8093;888;2617;108;382;7730;941;1201
1239;9000;3215;2578;7798;8697;1066;1334;8221;2255;1230;6929;1931;2446;543;6271;307;1815
5288;4525;1520;589;8401;8710;7052;6993;3127;7990;1897;8443;5199;1542;8271;2536;3283;4619
5271;2890;4622;1929;2180;1538;4750;3301;4171;8459;2350;5760;2164;1204;5143;1664;1009;6531
9000;6621;449;3428;2744;7600;1402;2474;336;7133;1641;6561;8077;1274;7970;5989;2198;5925
